event_id,time_to_tca,mission_id,risk,max_risk_estimate,max_risk_scaling,miss_distance,relative_speed,relative_position_r,relative_position_t,relative_position_n,relative_velocity_r,relative_velocity_t,relative_velocity_n,t_time_lastob_start,t_time_lastob_end,t_recommended_od_span,t_actual_od_span,t_obs_available,t_obs_used,t_residuals_accepted,t_weighted_rms,t_rcs_estimate,t_cd_area_over_mass,t_cr_area_over_mass,t_sedr,t_j2k_sma,t_j2k_ecc,t_j2k_inc,t_ct_r,t_cn_r,t_cn_t,t_crdot_r,t_crdot_t,t_crdot_n,t_ctdot_r,t_ctdot_t,t_ctdot_n,t_ctdot_rdot,t_cndot_r,t_cndot_t,t_cndot_n,t_cndot_rdot,t_cndot_tdot,c_object_type,c_time_lastob_start,c_time_lastob_end,c_recommended_od_span,c_actual_od_span,c_obs_available,c_obs_used,c_residuals_accepted,c_weighted_rms,c_rcs_estimate,c_cd_area_over_mass,c_cr_area_over_mass,c_sedr,c_j2k_sma,c_j2k_ecc,c_j2k_inc,c_ct_r,c_cn_r,c_cn_t,c_crdot_r,c_crdot_t,c_crdot_n,c_ctdot_r,c_ctdot_t,c_ctdot_n,c_ctdot_rdot,c_cndot_r,c_cndot_t,c_cndot_n,c_cndot_rdot,c_cndot_tdot,t_span,c_span,t_h_apo,t_h_per,c_h_apo,c_h_per,geocentric_latitude,azimuth,elevation,mahalanobis_distance,t_position_covariance_det,c_position_covariance_det,t_sigma_r,c_sigma_r,t_sigma_t,c_sigma_t,t_sigma_n,c_sigma_n,t_sigma_rdot,c_sigma_rdot,t_sigma_tdot,c_sigma_tdot,t_sigma_ndot,c_sigma_ndot,F10,F3M,SSN,AP
0,1.566798229166667,5,-10.204954629578877,-7.834755673874688,8.602100966916987,14923.0,13792.0,453.8,5976.6,-13666.8,-7.2,-12637.0,-5525.9,1.0,0.0,3.78,3.78,459,458,98.9,1.265,0.402,0.013826,0.007173000000000001,5.12307e-05,6996.91886658559,0.0039965551645123705,97.8064120752813,-0.397969092862843,0.29225770070532564,0.04079947600898376,0.3942208023827757,-0.9996740348820246,-0.03849830357141969,-0.9810976082182036,0.2146117769600234,-0.3164925446789966,-0.2102471412826656,0.17073694037680856,-0.00155085845105549,0.5315934759177916,0.00211707408487376,-0.17927830141722215,UNKNOWN,180.00000000000003,2.0,15.85,15.85,15.0,15.0,100.0,2.36,,0.34870100000000004,0.126607,0.00140562,7006.60732021595,0.0031437370175118,74.045734571957,-0.8248589064769345,0.4739756562852594,-0.0025757378461846434,0.8252158112691431,-0.9999983930811884,0.0035653866444865095,-0.7329538074970001,0.22000618545153167,-0.8142492108580788,-0.22062096295999198,0.2498551603129017,0.19661962372575345,0.7221862484186641,-0.1969080811715406,-0.6684865871539348,1.0,2.0,646.7454388175174,590.818294353664,650.4972510156822,606.4433894162175,-73.57409487152383,-23.618768868084327,0.02990999490446665,129.4309510080351,737347.1252253413,4.42992293210681e+16,4.0579317391991685,266.7223087782497,137.6171137613342,54366.86490869232,1.7814182552112796,46.612573411044366,0.14735005938241086,58.27209452216387,0.004091858990727807,0.1650437517750975,0.0029865732872307016,0.3864621585614819,89.0,83.0,42.0,11.0
0,1.2074935069444446,5,-10.355758414156274,-7.848936746646251,8.956373808532875,14544.0,13792.0,474.3,5821.2,-13319.8,-7.0,-12637.0,-5525.9,1.0,0.0,3.79,3.79,456,455,98.5,1.27,0.402,0.013487,0.009139,5.99749e-05,6996.920255214921,0.003996079695824511,97.806420155315,-0.07313749789953182,0.2973657469370992,0.06054059578932011,0.06965234247958707,-0.9981919984886888,-0.052511199699003856,-0.9942404044800326,-0.02964360662710623,-0.30233277716833273,0.0340299905413217,0.17969564102848096,0.0015519792562863368,0.5611424689122297,-0.005164808618808446,-0.1810356543234377,UNKNOWN,180.00000000000003,2.0,15.85,15.85,15.0,15.0,100.0,2.36,,0.34870100000000004,0.126607,0.00140562,7006.62105312288,0.00314406336943447,74.04573642004858,-0.8182074603041941,0.4827541248107289,-0.003578285999328432,0.8185727543355672,-0.9999982678070422,0.004573843461652299,-0.7287593186639387,0.20259539726156284,-0.8174902123306523,-0.20321595379209612,0.2589642854503864,0.19571770862538487,0.7219030735097328,-0.196007714435606,-0.6749790516197182,1.0,2.0,646.7435061800887,590.8230042497535,650.5133137195116,606.4547925262478,-73.57068984648866,-23.618768868084327,0.02907916185738685,271.54042407269867,114138.99356944178,4.378610043269432e+16,3.5267804014426534,262.1918190943417,56.0701168181412,54082.067268180486,1.8009586336171075,46.59586891560238,0.05967212917267156,57.96641268872863,0.0037526683839636033,0.16438254165208666,0.00293331535979342,0.3863929347180147,89.0,83.0,42.0,11.0
0,0.9521927430555556,5,-10.345630909024717,-7.84740592207253,8.932195118749533,14475.0,13792.0,474.6,5796.2,-13256.1,-7.0,-12637.0,-5525.9,1.0,0.0,3.79,3.8,456,455,98.5,1.2570000000000001,0.402,0.013356999999999999,0.007056999999999998,6.049590000000001e-05,6996.92055318148,0.00399633723028957,97.8064180111561,-0.10922985698061297,0.30518864939997564,0.04371090365252997,0.10707854501414203,-0.9962352860472666,-0.03428710740899365,-0.9966741311567112,0.03393327950377705,-0.3085005951492253,-0.030161099551586294,0.12376028647327425,0.019630323345083817,0.579274176282337,-0.02372608240121377,-0.12573696687127536,UNKNOWN,180.00000000000003,2.0,15.85,15.85,15.0,15.0,100.0,2.36,,0.34870100000000004,0.126607,0.00140562,7006.62352366059,0.00314396209469105,74.0457367368626,-0.8174081228922127,0.4838275408712008,-0.003741683043651569,0.8177743180389113,-0.9999982437958901,0.004738356617730665,-0.7290830856760941,0.20169825878912007,-0.8176622403955005,-0.2023195514823952,0.2600923870559516,0.1955583537039789,0.7218540353141059,-0.1958486661523639,-0.6753470195571843,1.0,2.0,646.7456072855375,590.8214990774222,650.5150824307502,606.457964890431,-73.57008773629572,-23.618768868084327,0.02907916185738685,347.89929171725373,46960.04111677254,4.369105379024621e+16,3.3620365851667944,261.6665435243872,37.49794661044788,54027.391201130566,1.8219396257834668,46.59275694783472,0.03925831122195656,57.907598810518806,0.0035761291922971686,0.16435203071456098,0.002966867877071711,0.3863807707430586,89.0,83.0,42.0,11.0
0,0.579669363425926,5,-10.337809009140992,-7.8458804744841535,8.913444064417831,14579.0,13792.0,472.7,5838.9,-13350.7,-7.0,-12637.0,-5525.9,1.0,0.0,3.86,3.86,443,442,98.4,1.254,0.402,0.01349,0.00548,6.46896e-05,6996.920276423679,0.00399668272766191,97.8064228319524,0.021587859441675083,0.4236466970991268,0.1575442146972655,-0.032072176859559286,-0.9909126047957332,-0.14999794472629474,-0.9988561992767748,-0.05939806400364925,-0.4271661319901169,0.07221409838608743,0.2280509256227919,0.03916318292525799,0.5475638911476286,-0.04997590103068285,-0.2294969276916624,UNKNOWN,180.00000000000003,2.0,15.85,15.85,15.0,15.0,100.0,2.36,,0.34870100000000004,0.126607,0.00140562,7006.622932135389,0.00314412566026498,74.04573583824909,-0.8175572502050762,0.4836776745798751,-0.003759566455813183,0.8179227313659433,-0.9999979796610778,0.0047546456194276785,-0.7280915962132882,0.2005341635158264,-0.8178827648282616,-0.20115483102775936,0.2596806982059363,0.19580765016285376,0.7218739016008718,-0.19609747215980186,-0.6756562960941411,1.0,2.0,646.747746839289,590.8188060080693,650.5156350881169,606.4562291826613,-73.57102086231319,-23.618768868084327,0.02907916185738685,435.37662634146017,12454.77655469364,4.382408451184505e+16,3.07578087646048,261.75971806219536,22.232869810260663,54107.60575002372,1.826767363404547,46.597585774372476,0.02206564071129592,57.99390485214803,0.003297914492524025,0.164308794652021,0.0029183116694417683,0.3863996635609301,89.0,83.0,40.0,14.0
0,0.2578060416666667,5,-10.391260080931213,-7.85294232897164,9.03683824507026,14510.0,13792.0,478.7,5811.1,-13288.0,-7.0,-12637.0,-5525.9,1.0,0.0,3.86,3.86,440,439,98.8,1.34,0.402,0.013906,0.007339,6.75706e-05,6996.920446395021,0.00399638987712749,97.8064255894727,0.4178649334050735,0.4060017107465445,0.2469106886721982,-0.4652561186914659,-0.983143887381659,-0.2430058194795052,-0.9997490626217556,-0.4308950756689379,-0.4057232356221825,0.4799903371793785,0.22346912214824624,0.11867447454855035,0.5434751782488799,-0.1435416571723791,-0.22406038040282167,UNKNOWN,180.00000000000003,2.0,15.85,15.85,15.0,15.0,100.0,2.36,,0.34870100000000004,0.126607,0.00140562,7006.626645672739,0.00314416172776001,74.0457363677621,-0.8159801065033689,0.4857939048880041,-0.004080837906341264,0.8163473992983172,-0.9999982461707859,0.005076840742316597,-0.7272568303885825,0.1966619973845641,-0.8185753700539976,-0.19728363995145745,0.261752928708057,0.1956571293696912,0.7217940571660352,-0.1959471988609591,-0.677040993846666,1.0,2.0,646.7458684380607,590.8210243519817,650.5196130127679,606.4596783327115,-73.57040904924372,-23.618768868084327,0.02907916185738685,469.1788021120601,7827.098153467933,4.374141597485258e+16,3.39217629258858,260.7274247178459,16.11080693199444,54063.67542074808,1.9582954322573496,46.594699269337504,0.015075456875332169,57.946716904411424,0.003669615783702703,0.16417170889041754,0.003219989130416437,0.38638814681612577,89.0,83.0,40.0,14.0
1,6.530455104166666,5,-7.561299467099262,-7.254300773397494,2.7467818230365246,2392.0,3434.0,74.3,2317.1,-589.4,25.9,-847.8,-3328.2,1.0,0.0,4.06,4.06,432,431,98.9,1.4469999999999998,0.40299999999999997,0.013382,0.000921,3.44328e-05,7001.5274118889,0.00102986602989932,97.767020446533,-0.13471322003276345,0.1265153915686433,-0.023596746098463045,0.10884497635703334,-0.9988560739891502,0.018619389038998933,-0.9995982796769944,0.107628755847813,-0.12692054682302228,-0.08145368498712441,-0.0967887813955993,-0.08213566991300711,0.8101014773750881,0.0856014825466508,0.09904410506596348,DEBRIS,1.0,0.0,3.28,3.28,33.0,33.0,100.0,1.3940000000000001,0.0045,0.15831199999999998,0.0,0.0111285,6880.65210956969,0.0174908934529079,82.431757824205,-0.8589276511117143,0.10650858116594326,0.32501895261617725,0.8589760393632341,-0.9999999681482163,-0.32498689980002204,-0.9101895263741228,0.9938788843856384,0.2403360512560052,-0.9938895485337804,-0.6822880300543619,0.8123446601199231,0.22442637271175755,-0.8124056911688592,0.8034152546331282,1.0,2.0,630.6010471278132,616.1797766499876,622.8638625046998,382.16635663468077,-54.22064537314441,-75.70885135191828,-0.4320685659276473,4.183398475973807,61067238.21912063,5886603245056671.0,6.4871403561199426,65.51323530402082,258.6525661964327,77932.59266827969,4.738320377517755,51.30442476044343,0.278354126967789,84.67741139170471,0.006980100285812519,0.32062205164336405,0.0041986986079022145,0.04738465996501401,71.0,88.0,0.0,2.0
1,5.561646087962963,5,-9.315693353928367,-7.468904453129972,7.223137485414548,3587.0,3434.0,99.0,3475.4,-885.1,24.7,-847.8,-3328.2,1.0,0.0,3.91,3.91,449,448,99.0,1.4469999999999998,0.40299999999999997,0.014634999999999999,0.005607,3.35544e-05,7001.5257801134485,0.0010285207280686301,97.76701602568492,-0.1251190195749924,0.22121375295822315,0.01178878683008176,0.09841340920151646,-0.9986939317471372,-0.02042054553489846,-0.9995066000525121,0.09520286548609776,-0.22280493079002384,-0.06812142070177933,0.009246197006342395,-0.017972865627978042,0.8159058969362216,0.015337922044350775,-0.009128077050920528,DEBRIS,1.0,0.0,3.28,3.28,36.0,36.0,100.0,1.4280000000000002,0.0045,0.15731199999999998,0.0,0.0103964,6880.65233311122,0.0174942179596955,82.43147125380571,-0.9296847345115116,-0.031789399195054906,0.2958822567455895,0.9297012811554168,-1.000000038910275,-0.2958736566584061,-0.9652514233433068,0.9936070186250576,0.21964300885947613,-0.9936125617898312,-0.5822344609777383,0.7231771397379141,0.3016404657589565,-0.723223293753438,0.6903946674104905,1.0,2.0,630.5899945064039,616.1875657204964,622.886964731556,382.1437014908852,-54.22455859459414,-75.70885135191828,-0.4120506521090592,7.26771861745376,29699530.00089005,2374628657909841.0,5.947585224273797,76.95578600729122,224.1000446229317,58770.051897203564,4.229364018383852,42.3859646581271,0.2409068284627897,63.86085655548319,0.006401599018995176,0.2646357685574647,0.003724506678742837,0.04002034482610064,70.0,87.0,13.0,14.0
1,5.226503738425926,5,-7.422508200162776,-7.051000545973047,2.95663913757742,7882.0,3434.0,-50.0,-7638.3,1945.7,36.8,-847.7,-3328.2,1.0,0.0,3.99,3.99,434,433,98.9,1.383,0.40299999999999997,0.014278,0.005571,3.29136e-05,7001.538660921479,0.00102826461831816,97.76701579026808,-0.2598273534320191,0.1945639872256393,-0.01736015507868489,0.2366046353888888,-0.998760211988328,0.010201617551034985,-0.9993097846290184,0.2255344038095281,-0.19622895418754027,-0.2017405681731056,-0.0172219213963178,-0.01998798122348808,0.8130658594276479,0.01885193315601404,0.017767630412612208,DEBRIS,1.0,0.0,3.44,3.44,36.0,36.0,100.0,1.5430000000000001,0.0045,0.147585,0.0,0.00967337,6880.573186783461,0.0174865527943462,82.4314052292488,-0.9499880441958786,-0.1592267453484447,0.029555257403314408,0.949971079823581,-1.0000000139599,-0.029336979135726464,-0.9820099848115222,0.9917881060023306,0.08137624875962264,-0.9917806437397478,-0.3871697109039675,0.28723487147127597,0.8551659586031992,-0.2870977055846288,0.3308013415008112,1.0,2.0,630.6010954002923,616.2022264426669,622.7536930695132,382.1186804974095,-54.181705119341146,-75.71046798769186,-0.6138969280518974,11.197928282955704,22419959.991219364,4.0069134890780936e+16,5.512258157960312,97.58981504234957,225.09755662823173,52234.117203222646,4.031267790658418,138.63026365119558,0.24019835553142324,56.76490993562837,0.0059064109237336355,0.25910924337043634,0.003588003623186577,0.08324653145927463,70.0,87.0,13.0,14.0
1,3.570013078703704,5,-9.248105311956254,-7.327532686931917,7.425994267766535,26899.0,3434.0,-82.0,-26067.0,6638.2,56.8,-847.8,-3328.2,1.0,0.0,4.04,4.04,430,429,99.0,1.402,0.40299999999999997,0.015178,0.0034170000000000003,3.09775e-05,7001.56120522953,0.00102810794377915,97.7670018183478,0.025432769748922543,0.31884247493046713,0.0279185445213009,-0.05064814586831856,-0.997383904186115,-0.04062484868599255,-0.9995598141673764,-0.05343664191532183,-0.31996601408127257,0.07909799326391838,0.01643202993559697,-0.04984976148891244,0.7604964466236742,0.04668523258792071,-0.01534127257334236,DEBRIS,1.0,0.0,3.54,3.55,33.0,33.0,100.0,1.65,0.0045,0.151857,0.0,0.00872966,6880.58834896141,0.0174905550869722,82.4315235438637,-0.8960073013466497,-0.3417631017635933,0.0756305131747246,0.8959931703495434,-0.9999995766547348,-0.07516961781389565,-0.9825595555488328,0.96269382794248,0.2430490805848424,-0.9626850108142142,-0.3895776744683034,0.2495959609962987,0.8113243185629633,-0.2493633208979787,0.3445423293112579,1.0,2.0,630.6225659234824,616.2258445355774,622.7966585096982,382.1060394131217,-54.10978169552488,-75.70885135191828,-0.947479638208244,62.058087054076864,5097271.643696088,8825835705414715.0,5.45532950425545,99.9164000552462,115.55262870224978,27824.07231157941,3.7807962124399137,97.15931761802365,0.1248022435695769,30.242767730483926,0.005882701760245882,0.17495602304579286,0.00340812265037513,0.058310505056979225,71.0,87.0,21.0,5.0
2,6.98347351851852,2,-10.81616096294358,-6.601712694642599,13.293158673664935,22902.0,14348.0,-1157.6,-6306.2,21986.3,15.8,-13792.0,-3957.1,1.0,0.0,3.92,3.92,444,442,99.4,1.094,3.4505,0.025519999999999998,0.00939,1.85678e-05,7158.3945302391785,0.000860465530058017,98.5230944199605,-0.0997677935580025,0.35799540585221645,-0.12217378997417964,0.0854716652050498,-0.9996743800705976,0.12150439283398674,-0.9991136847407744,0.05780880288452675,-0.35386639421816823,-0.043470533922738884,-0.02513769948454711,0.08795445658796981,-0.4305833519813303,-0.08882110457501853,0.021408631041090184,UNKNOWN,180.00000000000003,2.0,13.87,13.87,15.0,15.0,100.0,1.838,,0.814291,0.56438,0.000725665,7168.39692845192,0.00136667288018405,69.7172776435974,-0.06852607978347271,0.6369699388115857,-0.038213818497091684,0.06430528775349757,-0.9999887195716434,0.03676247023794546,-0.996314163527232,0.1538060049500084,-0.6349607120372779,-0.14962695909244544,0.7159836292246209,-0.15905723964228302,0.9539449274137376,0.15680338810170075,-0.7233493782733297,12.0,2.0,786.417081983006,774.0979784953532,800.0567821284294,780.4630747754111,63.95577133496789,-16.008857830946027,-0.06309205515774605,115.20880188245687,4110620.29088337,2.7157734391569884e+18,9.039007135742288,257.2082813596794,147.61514149977975,38173.43317020359,1.6426487756060333,218.24378570763474,0.15333176448472768,39.695541311336214,0.009369778545942271,0.2699652755448374,0.003885905299926904,0.33940565699469416,73.0,77.0,27.0,4.0
